deal,opp_id,account,stage,win,momentum,commitment,risk,read,engine,factor_source,calls_read,updated_at,win_reasons,momentum_reasons,commitment_reasons,risk_reasons
Robert Bosch,006P700000PlMpu,Robert Bosch GmbH,Shortlisted,54.0,58.0,68.0,48.0,Close-date risk,10.8,ai,21,2026-07-09T16:15:32.352046+00:00,"[good] Survived the cut into RFP Round 2 — narrowed from a 4-5 supplier long-list on 2 Feb; no rival has been confirmed ahead at any point, and advancement was buyer-confirmed 29 Jun. || [good] Deep, buyer-run qualification — 17-user POC, Bosch's own internal PoC assessment (22 May), technical deep-dive plus onsite workshop, 12 of 15 meetings transcribed. || [good] MEDDPICC mostly locked — metrics, economic buyer, decision criteria, decision process, and pain all marked confirmed from real buyer sessions. || [warn] No direct economic-buyer face time — vulnerabilities explicitly flag 'No C-level (CPO/CFO) engagement yet'; champion Kirmse gates access but hasn't introduced. ► Force an EB touchpoint before the 17 Jul submission. || [warn] Architecture gap called a mandate — BYOK/SCIM flagged as 'critical deviations' and a 'mandate for Bosch' in the 22 May closing review. ► Deliver the written confirmation Varun committed to. || [warn] Close date isn't credible — 31 Jul close sits before the 17 Jul RFP response even lands; realistic close is mid-Aug to early Sep. ► Update CloseDate to reflect the true timeline.","[good] Buyer issued RFP Round 2 documents — received 29 Jun 2026, response due 17 Jul 2026; this buyer-owned deadline keeps the deal live in process-mode despite 44 days since the last meeting. || [good] Sustained deep-dive engagement through May — 12 transcribed sessions including Technical Deep Dive (26 May), AI Deep-dive (21 May), and a two-day onsite POC workshop (11-12 May). || [warn] Our own API docs are overdue — Swagger/Postman collection requested 26 May still not delivered as of 6 Jul; this is an execution risk on us, not a buyer stall. ► Ship the API documentation before Round 2 review. || [good] Deal strengthened materially ~70 days ago — Amount $300K→$1.2M, stage Formal Eval→Shortlisted, forecast Pipeline→Best Case, all in the same window. || [warn] No future meeting on the calendar — next_scheduled is null; the last planned touch was a 25 Jun call to Thomas Kirmse. ► Lock a dated call before the 17 Jul RFP deadline. || [warn] Champion's exec-access plan stalled — Kirmse's own note ('engage with c-level once through testing,' 12 May) has sat unactioned for seven weeks. ► Push Kirmse for a named C-level intro this week.","[good] Bosch ran its own internal PoC assessment — scheduled and executed 22 May with 17 test users onboarded on their side. || [good] Buyer chasing paper details — requested an implementation-partner list (8-12 May) and submitted Q&A through the sourcing platform (23 Jan), showing active procurement follow-through. || [warn] Paper process still a gap — MEDDPICC marks paper_process unconfirmed; no SOW/order-form activity evidenced yet. ► Open the contracting conversation in parallel with Round 2.","[warn] No economic buyer engaged directly — champion has not brokered C-level access despite naming it as the next step since 12 May. || [warn] Close date pressure — 31 Jul close predates the 17 Jul RFP response deadline, leaving no room for decision + contracting. || [warn] Overdue deliverable on our side — requested Swagger/Postman API docs (26 May) still not sent as of 6 Jul, risking credibility in Round 2 review. || [good] No rival named ahead — competitive summary confirms no competitor has been voiced as leading at any point in the 7-month cycle."
SAMI,006P700000RD9Ir,SAMI,Shortlisted,56.0,70.0,58.0,70.0,At risk,10.8,ai,2,2026-07-09T16:14:41.59989+00:00,"[warn] No champion, no direct EB access — Franck Devienne is explicitly logged as gatekeeper, not champion; CFO/CPO-level budget authority has never joined a call. ► Build internal advocacy and force a direct EB session before final scoring. || [warn] AI positioning conflicts with a hard buyer restriction — MEDDPICC blocker states 'ZERO AI functionality will be accepted' for KSA data-residency/security reasons, undercutting the Merlin/ANA-led pitch used in both deep-read calls (13 Jan, 23 Jun). ► Re-anchor the pitch on-prem/private-cloud compliance, not AI. || [warn] SAP Ariba integration parity unproven — SAMI runs S/4HANA where Ariba has native ecosystem edge; Zycus offered iSaaS middleware/adapters at the 23 Jun demo with no proof point yet. ► Secure a technical reference or parity PoC before BAFO. || [good] Buyer voluntarily confirmed survival to shortlist-of-3 — 2 Mar 2026 SAMI confidentially confirmed Zycus made the cut to 3 vendors despite regional disruption, and engagement has continued since (demo, quote request). || [good] Deep, buyer-run structured evaluation — ~600-question RFP clarification round, live demo, and ongoing InfoSec/DC/reference checks show real buyer investment (deep qualification), which is holding the position even with EB/champion gaps. || [warn] Defense-compliance questions still open — trade/FARS, classified-material lineage and consignment/MRP integration remain unanswered since the 23 Jun demo. ► Close these in writing before the end-of-July evaluation deadline.","[good] Buyer actively driving next round — 3 Jul next-step note: SAMI asked for revised quotes via KPMG/Accenture and flagged open tech queries, a buyer-issued deliverable, not rep-chased. || [good] Recent high-value session logged — 23 Jun 2026 'ZYCUS SRM - Live Demo' (152 min, transcript, sami.com.sa/alsalam.aero attendees) directly addressed RFP positioning. || [warn] No future meeting on the calendar — next_scheduled_meeting is null despite a live RFP racing toward an end-July evaluation close. ► Lock the next SRM/decision session now, don't let the cadence go quiet. || [good] Continuous forward trail since Dec 2025 — RFI (24 Jan) → RFP submitted (4 May) → ~600 clarifications → demo (23 Jun) → revised-quote request (3 Jul) shows steady buyer-paced advancement, not stalling. || [warn] Close date already pushed once — 2026-06-29 → 2026-08-29 (61 days) with no buyer-confirmed reason on file. ► Reconfirm the true decision date with Franck/advisor before next forecast call. || [good] Buyer-set evaluation deadline keeps process live — 'end of July' close of all evaluations (per 3 Jul next step) qualifies this as an on-track structured process, not a dark deal.","[good] Rigorous buyer-run evaluation — ~600 RFP clarification questions submitted/answered and an extension granted, showing real internal SAMI effort, not a paper exercise. || [good] Buyer initiating requests, not just responding — 3 Jul ask for revised quotes via KPMG/Accenture plus ongoing InfoSec/reference/DC checks are buyer-driven action items. || [warn] Paper process not started — MEDDPICC flags paper_process as a gap. ► Get procurement/legal named and a contracting timeline agreed once evaluation closes. || [warn] Economic buyer still one step removed — Franck acts as gatekeeper only; no CFO/CPO-level engagement logged. ► Push for a direct EB touchpoint before scoring finalizes.","[warn] No champion, no EB access — budget-holding authority is unmapped and has never joined a call; Franck is a gatekeeper relationship only. ► Escalate access via advisor/reference calls immediately. || [warn] Hard AI restriction undermines the core pitch — 'ZERO AI functionality will be accepted' per MEDDPICC blocker, directly conflicting with the Merlin/agentic-AI story led in both deep calls. || [warn] SAP Ariba integration-parity risk — S/4HANA landscape favors incumbent Ariba; Zycus's middleware/adapter story is unproven as of the 23 Jun demo. || [warn] Close-date credibility questionable — 29 Aug close conflicts with the buyer's own stated end-July evaluation close / mid-July decision window, and the date has already slipped 61 days once. || [good] Gaps are visible and being worked, not ignored — buyer is actively engaging on defense-specific compliance (FARS, classified lineage) rather than disengaging, a sign of live continued interest."
Allstate,006P7000006uKrq,Allstate,Shortlisted,27.0,12.0,22.0,82.0,Close-date risk,10.7,ai,5,2026-07-09T14:13:34.097277+00:00,"[warn] Decision gated by the incumbent's beta — Allstate's SAP Ariba workshop/beta is the explicit gate on outcome, and Gaurav has not shared results despite the 6.8.26 and 6.16.26 follow-ups. || [warn] Economic buyer never reached — Casey McDowell and Cheryl Harris have been targeted for an exec session since at least 2.18.26 ('asking for executive meeting w Casey/cheryl'), and a Chicago session was still 'most likely later this month' as of 2.4.26 — it never happened. || [good] Core qualification is real — decision criteria, pain, and competition are all confirmed, built on 5 transcribed sessions including deep AI/agentic discussion at the 21 Jan 2026 on-site. || [warn] Champion has stopped answering the one question that matters — Gaurav, an escalating champion for over a year, has been silent on the SAP beta outcome since ~5.26.26. || [warn] Close timeline doesn't match reality — 22 days to a 7/31/26 close, yet the ANA POC (offered 2.25.26), reference calls (requested Jan 2026), and commercials/legal have not started. || [good] Differentiated AI story landed — Zycus presented agent-based intake and ANA in depth at the Jan on-site vs. SAP, but it remains unproven since the offered POC never launched.","[warn] Buyer gone dark 169 days — no meeting since the 21 Jan 2026 on-site product session; zero meetings logged in the 30/60/90-day windows and none scheduled. || [warn] Rep chasing into silence — Next Step log shows 5.26.26, 6.8.26, 6.16.26 and 6.29.26 follow-ups from KK/Alexa, with 6.16.26 stating flatly 'no update on the beta or evaluation from gaurav'. || [warn] Close date slipping this late — 6/30/26 pushed to 7/31/26 (trend -0.63), a real drag signal with only 22 days now left. || [warn] No future meeting booked — next_scheduled_meeting is null despite the close date being 22 days out. || [good] Rep still working a live angle — 6.29.26 next step has Alexa sharing McAfee SMS/WhatsApp innovation proof specifically to draw Gaurav out on the SAP beat outcome. || [good] Genuine engagement history exists — 5 fully recorded/transcribed sessions between 23 Jun 2025 and 21 Jan 2026, none of it fabricated or keyword-only.","[warn] References promised, never delivered — 'need to set up different references ASAP' (Next Step, 1.21.26) and reference calls were committed at the Jan on-site, but none have occurred. || [warn] POC stalled at zero — ANA POC offered 2.25.26 has never started, so there is no buyer-side proof-of-value work underway. || [warn] No paper movement — MEDDPICC paper process is a confirmed gap; no legal/commercial redlining in motion. || [warn] Sponsors mapped but absent — Casey McDowell and Cheryl Harris are named executive sponsors who have never appeared on a call or confirmed involvement. || [good] Some self-driven motion existed — 5.26.26 note: 'gaurav connecting w leadership on next steps with POC, commercials, etc.' shows Gaurav pushing internally, though it wasn't sustained.","[warn] Close date collision — 22 days to a 7/31/26 close with the SAP beta unresolved, no POC run, no references done, and no commercials/legal engaged. || [warn] Sole live competitor is the incumbent — SAP Ariba's beta/workshop is the explicit gate on the award, and the buyer has stopped sharing its status. || [warn] Economic buyer inaccessible for over a year — repeated asks for a Casey/Cheryl session (Dec 2025 through Feb 2026) never converted to a meeting. || [warn] Forecast category understates the risk — 'Upside Key Deal' (not Commit/Best Case) against an imminent, already-slipped close date (6/30→7/31/26). || [warn] 169-day dark streak with nothing scheduled — no meeting in 30/60/90d windows and next_scheduled_meeting is null."
NORTHPORT,006P700000QFJwD,,,,,,,blank,,,,,,,,
Domino's Pizza,006P700000X6hvK,DOMINO'S PIZZA ENTERPRISES LIMITED,Formal Evaluation,57.0,57.0,50.0,62.0,At risk,10.7,ai,3,2026-07-09T14:37:58.63881+00:00,"[good] Buyer-voiced front-runner status — CPO Jai Rastogi told Zycus directly on 29 May, 'I haven't gone out to market to anyone,' framing this as a direct, fast-tracked eval with no live bake-off. || [good] Champion is carrying the deal — Jai Rastogi initiated it at a conference, is coaching finance and multiple regional teams internally, and unprompted offered a reference-customer intro. || [warn] Economic buyer never engaged — CFO Lynn Carruthers has had no direct contact; CIO Wayne McMahon is mapped but unengaged despite the POC needing ERP integration scoping. ► Ask Jai to broker a CFO/CIO touchpoint before POC results land. || [warn] POC still hasn't launched — blocked on Domino's data extracts across 12-13 disparate ERP systems (Navision, D365, local ERPs), overdue as of 6 Jul against a 28 Aug close. || [warn] MEDDPICC mostly partial — decision process, paper process, metrics and competition all unconfirmed; deal is single-threaded through one champion. || [good] Deal is scaling and accelerating on paper — amount grew 200K→450K (33 days ago) and close date pulled in 63 days, both buyer-driven moves.","[good] Recent buyer session logged — 80-min recorded/transcribed call 3 Jul 2026 with DPE Europe team, only 6 days ago. || [warn] No future meeting on the books — next_scheduled is null and the 06 Jul next-step note flags Domino's data delivery as still outstanding. ► Lock a dated follow-up with Jai this week. || [good] Close date pulled in 63 days — moved from 30 Oct to 28 Aug 2026, a real buyer-driven urgency signal. || [warn] POC hasn't actually launched — still waiting on Domino's ERP data extracts, overdue as of 6 Jul, against a 28 Aug close. ► Escalate the data blocker directly with Jai rather than waiting. || [good] Strong historical cadence — demo scheduled 26 May, delivered 3 Jun, CPO clarification questions 6 Jun, POC planning meeting 6 Jul, all forward-moving. || [warn] Engagement thinning vs. earlier weeks — the 9 Jun 'POC Discussion' has no recording/transcript, unlike the three prior sessions.","[good] Champion actively building internal buy-in — Jai Rastogi is coaching finance stakeholders on the ROI case and offered an unprompted reference-customer introduction. || [good] Interest spreading beyond HQ — Maria Oehler (Domino's Germany) asked a product question (French-language ANA support) on 3 Jul, showing multi-country stakeholder pull. || [warn] Top-down buy-in missing — CFO (economic buyer) and CIO have no recorded engagement at all. || [warn] Domino's-owned action item is stalled — the data extract Domino's committed to deliver for the Spend POC is overdue as of 6 Jul.","[warn] Single-threaded on one champion — with CFO and CIO both passive, the deal is vulnerable if Jai's influence or bandwidth changes. || [warn] Timeline is compressed and slipping — only 50 days to the 28 Aug close, yet the POC hasn't started and Domino's data delivery is already overdue (per 6 Jul note). || [warn] POC execution risk is real — data must be pulled cleanly from 12-13 disparate ERP systems (Navision, D365, local ERPs) with no common taxonomy. || [warn] Paper process is a confirmed gap — no procurement/legal motion evidenced yet, and forecast category remains 'Pipeline' despite the aggressive close-date pull-in. || [good] Competitive risk is currently low — Coupa, SAP Ariba and Ivalua all read as dormant/faded, mentioned only as the CPO's past-role vendors, not active bidders."
Greencore,006P700000WeRX8,Greencore Group,Qualified,27.0,24.0,37.0,70.0,On hold,10.7,ai,1,2026-07-09T15:07:12.030425+00:00,"[good] Champion self-driving and enthusiastic — Rachael Coad has taken personal ownership, showed 'strong positive engagement' with Merlin AI per the 15 May demo notes. || [warn] Economic buyer not identified — MEDDPICC EB = gap; Rachael must still 'build the business case and present to unnamed senior leadership' before any budget exists. || [warn] Buyer's own blocker undercuts near-term win — Rachael 'does not currently have the internal headcount or bandwidth' to run the implementation, per her own words on 10 Apr 2026. || [good] No formal competitor engaged yet — competitive shortlist won't form until the end-2026 RFP launch; Zycus is shaping the RFP itself, a real influence position. || [warn] Paper process and budget both gaps — no approved budget, no paper process started; commercial and decision-process pillars unconfirmed in MEDDPICC. || [warn] Pre-RFP stage caps upside — recorded stage is Qualified with a stated RFP timeline of 'end of 2026,' keeping this well inside the pre-RFP ceiling regardless of champion warmth.","[warn] 55 days since last buyer touch — last real session was the 15 May 2026 demo; zero meetings in the 30-day window and none logged at 60d beyond that one. || [warn] No future meeting on the books — next_scheduled is null; the only forward plan is a vague October EY-event invite with no confirmed date. || [warn] Rep explicitly parking the deal — Next Step states 'this is a long play deal — we are keeping them warm until they are ready for RFP,' i.e. deliberate pause, not active pursuit. || [good] Discovery call substance was real — 10 Apr 2026 discovery had a full 48-minute transcript and 8 Apr had a recorded buyer-attended session, showing genuine engagement when it happened. || [warn] Buyer-initiated activity near zero — buyer_touches_30d = 0 and engagement_points_60d only 4.7, with rep driving via 3 SFDC email touches into apparent silence. || [warn] Stalling drag active — 55 days dark sits mid-way through the 31–60d ramp, pulling the score down before any forward motion offsets it.","[good] Champion inviting peers in — James confirmed attendance at the Zycus procurement event next week per the 15 May note, expanding buyer-side exposure. || [good] Buyer asked for tailored materials — Rachael specifically requested to see the savings-opportunity/AI business-case content, per the fit notes on the 10 Apr call. || [warn] No budget or exec sponsor secured — Rachael still has to build the internal business case and get senior leadership sign-off; nothing formally approved. || [warn] Buyer explicitly flagged resourcing as the blocker — she 'does not have internal headcount/bandwidth' to run a transformation program right now, a self-imposed brake on her own commitment. || [warn] Zero buyer-initiated touches in 30 days — buyer_touches_30d = 0; all recent cadence is rep-driven (3 SFDC email sends, no reply logged).","[warn] No Economic Buyer mapped and no budget approved — deal is explicitly pre-budget; MEDDPICC EB and paper process both show 'gap.' || [warn] Close date is a stale placeholder — CRM shows 2026-04-12 (already 88 days past-due) while the buyer's own stated plan is an RFP toward 'end of 2026' — a real forecast/reality mismatch. || [warn] Buyer-stated implementation bandwidth blocker — Rachael has no headcount to run a procurement transformation amid concurrent MES/SAP/supply-chain projects, per vulnerabilities notes. || [warn] 55 days dark with nothing scheduled — no future meeting on record; risk of losing shaping influence if a rival builds a parallel relationship before the RFP forms. || [warn] Full competitive field still unknown — the real S2P shortlist won't surface until the RFP launches at end-2026, leaving Zycus exposed to late-entering rivals (dormant threat noted)."
SARS,006P700000UZv8c,SOUTH AFRICAN REVENUE SERVICES ( SARS ),Shortlisted,36.0,39.0,22.0,75.0,At risk,10.7,ai,4,2026-07-09T14:45:20.112414+00:00,"[warn] No champion has ever been activated — CPO and CTO are rep hypotheses only in CRM notes, with no documented action since the shortlist. ► Convert one into a real advocate before the award decision. || [warn] Single-thread exposure — 0 OpportunityContactRole stakeholders on the opp, no reach to Deputy CTO or the procurement committee. ► Multi-thread now; SAP's incumbent relationships run deeper. || [good] Real forward motion on paper — stage advanced to Shortlisted and forecast upgraded to Best Case, both 48 days ago, a genuine RFP-stage move. || [warn] AI-native pitch unvalidated — the Merlin/ANA deck went to the EY-SARS bid team but has never been demoed or workshopped live with SARS since shortlist. ► Push for a live session to prove the AI-scoring differentiator. || [warn] Competitive and pricing exposure unresolved — SAP Ariba flagged high threat against the incumbent SAP ERP, CFO flagged for pricing sensitivity, no post-shortlist pricing confirmation on record. ► Lock competitive intel and confirm pricing stance before the RFP result lands. || [warn] Next step is passive waiting, not a plan — 'June 24: Shortlisted and we will get informed soon' carries no dated forward action.","[warn] Zero meetings in the deal's entire history — total_all_time meetings = 0, 0 transcripts, despite the opp sitting at Shortlisted in RFP 33/2025. || [good] Stage and forecast both moved forward recently — Formal Evaluation → Shortlisted and Pipeline → Best Case, both dated 48 days ago; amount raised 450K → 500K 82 days ago. || [warn] Buyer contact is thin and email-only — buyer_touches_30d = 2, no calls or sessions, engagement_points_60d just 6.0. || [warn] Nothing dated on the calendar — next_scheduled_meeting is null and has_future_calendar is false; no forward motion planned toward the Feb 2027 close. || [warn] Customer passivity — no buyer-initiated action recorded; next step is purely reactive ('we will get informed soon,' June 24) with no rep-driven forward milestone.","[warn] Paper process flagged as a gap — MEDDPICC shows no confirmed SARS-side procurement/security review activity. || [warn] No buyer owns an action item — 0 contact roles logged against the opportunity; nobody named on the buyer side is driving anything. || [warn] No exec sponsorship in evidence — CPO/CTO mapped only as rep hypothesis, zero documented advocacy or internal feedback post-shortlist. || [warn] No validation requested — the AI pitch deck went to the EY bid team but SARS has never asked for a live demo or reference. || [good] Channel technically still open — 2 buyer touches logged in the last 30 days, so the account hasn't gone fully silent.","[warn] Stage/engagement mismatch — Shortlisted stage carries zero meetings all-time and zero contact roles, a real gap between recorded stage and actual depth. || [warn] No champion, no exec access, single-thread — CPO/CTO hypothesis never converted to action, leaving the deal exposed to SAP Ariba's multi-level government relationships. || [warn] Pricing risk against an entrenched incumbent — CFO flagged for pricing sensitivity, SAP Ariba benchmarks typically favor incumbents in government RFPs, no confirmed post-shortlist pricing position. || [warn] Open technical requirement unconfirmed — South Africa data residency/local hosting flagged in the RFP but not yet confirmed as deliverable. || [good] Deal is not dead — forecast and stage both advanced within the last 7-12 weeks, and the RFP 33/2025 evaluation is still active, not lost."
Etex Group,006P700000UGPE5,Etex Group,Formal Evaluation,32.0,52.0,35.0,72.0,At risk,10.7,ai,1,2026-07-09T15:40:28.018182+00:00,"[warn] Incumbent runs the RFI platform — SAP Ariba, Etex's incumbent through Mar 2027, is the very platform administering Etex's vendor-selection RFI, a structural home-field edge unaddressed with the buyer. || [warn] Economic buyer never engaged — Isabelle Bellessort, Global Head of Supply Chain, has had no direct contact in 132+ days; budget authority and sponsorship remain unmapped. || [warn] Single-threaded, champion unproven — David Decoux and Stijn Immesoete are evaluators only, with no EB introduction or advocacy shown since the 20 Feb 2026 call. || [good] Real pain on record — Customer_Business_Problem__c cites Etex's stated need for 'more advanced intelligence and automation within procurement processes.' || [good] Forward step booked — demo with Varun confirmed for 19 Aug 2026, and stage advanced Qualified→Formal Eval just 8 days ago. || [warn] Zycus follow-through gap — promised slides/demo videos/NDA after the 20 Feb 2026 intro call were never delivered, and the buyer never chased them either.","[good] RFI process now live — Etex invited Zycus to complete the Ariba registration questionnaire (22 Jun/2 Jul 2026) and locked a demo with Varun for 19 Aug 2026 per the 9 Jul 2026 next-step note. || [warn] No real buyer meeting in 139 days — the only live call on record is the 20 Feb 2026 category-management demo; zero meetings logged in the last 30/60/90 days. || [warn] Champion gone quiet — David Decoux was vocal on the Feb call, but every touch since has run through a process coordinator, not his own initiative. || [good] Buyer still transacting — 7 SFDC email touches in the last 30 days, and outreach is not one-way rep chasing. || [warn] Economic buyer unengaged — Isabelle Bellessort has had zero Zycus contact in 132+ days, so real conviction behind the RFI invite is unconfirmed.",[good] Etex initiated its own RFI — buyer invited Zycus into the Procurement Suite RFI and asked for Ariba registration completion (22 Jun/2 Jul 2026). || [warn] No exec sponsorship shown — economic buyer Isabelle Bellessort has never engaged; no reference calls or security review logged. || [warn] Paper process not started — MEDDPICC marks paper_process as a gap. || [good] Demo re-confirmed — 19 Aug 2026 session locked with Varun per the latest 9 Jul 2026 next-step update.,"[warn] Incumbent conflict of interest — SAP Ariba, incumbent through Mar 2027, administers the platform Etex is using to run the vendor RFI. || [warn] EB dark 132+ days — no budget authority or strategic sponsorship mapped for Isabelle Bellessort. || [warn] Single-threaded relationship — only David Decoux/Stijn Immesoete engaged, both evaluators, with a 127-day gap in substantive contact. || [warn] Long runway, many gates left — close date is 175 days out and the deal must still clear Shortlisted, Vendor Selected, and Negotiation. || [good] Some buyer activity persists — 7 email touches in the last 30 days keep the deal from going fully cold."
Temasek,006P700000BV2eA,Temasek,Formal Evaluation,37.0,66.0,46.0,63.0,Moving,10.8,ai,1,2026-07-09T16:19:32.019701+00:00,"[warn] No economic buyer engaged — vulnerabilities explicitly flag no CFO/CPO/C-suite sponsor; contacts are mid-level (Adam Kang, Shirley Tan, Wing Yu Onz). ► Use STE/Infosys Compass to open EB access before the shortlist decision. || [warn] No confirmed champion — MEDDPICC marks champion 'gap'; Adam Kang is engaged (AI deck, 6 Feb call) but no source shows him advocating for Zycus internally. ► Convert Adam Kang into an active advocate ahead of the clarification deadline. || [warn] Workday is a structural threat, not just a bidder — buyer repeatedly presses for proof of Workday integration (6 Feb call, Next_Step refs), and Workday is also the incumbent ERP. ► Close the Workday-integration reference gap the buyer asked for. || [good] Still alive in a 5-6 vendor field with no rival confirmed ahead — GEP, Coupa, Ivalua, Workday, JAGGAER all named, but the 1 Jul clarification round shows Zycus is still being evaluated, not cut. || [good] AI narrative is landing — buyer's detailed 6 Feb questions on Merlin persona-aware intake and AI redlining match Zycus's 'AI-embedded I2O' positioning (Next_Step__c, 20 Mar 2026). || [warn] No quantified business case — MEDDPICC metrics is 'gap'; buyer pain (manual contract workflows) is qualitative only. ► Build an ROI case with Adam Kang to differentiate against price-competitive rivals in a sovereign-fund procurement.","[good] Buyer issued a live clarification round — 60 questions received 1 Jul 2026, due 15 Jul, only ~8 days old and keeping the RFI process actively moving. || [good] RFI submitted on time — Next_Step__c: 'RFI submitted on time - strong proposal and now we wait for shortlist' (6 Jun 2026). || [good] Deliverable cadence is escalating — NDA (20 Apr) → RFI invite (11 May) → RFI submission (6 Jun) → clarifications (1 Jul); a rising, buyer-driven sequence, not a stall. || [warn] Zero calendar meetings logged anywhere — 0 Avoma/Task meetings in the 30/60/90-day windows; every touchpoint lives only in the Next_Step__c narrative. ► Start logging RFI calls as Tasks/Events so future runs don't read this as dark. || [warn] No future session or shortlist date on the calendar — next_scheduled_meeting is null. ► Get a shortlist-readout call booked once clarifications are submitted 15 Jul.","[good] Buyer investing real evaluation effort — a 60-question clarification request issued 1 Jul 2026 shows the buyer scoring the RFI in real depth. || [good] Formal process artifacts completed — NDA signed (20 Apr 2026) and RFI submitted on time (6 Jun 2026) per Next_Step__c. || [warn] No exec sponsorship secured despite 12+ months of engagement — no CFO/CPO/C-suite touch on record. ► Push for EB access via STE before the final decision round. || [warn] No POC, InfoSec review, or reference call requested by the buyer yet — commitment currently caps out at RFI paperwork and clarification Q&A.","[warn] No economic buyer AND no champion — both MEDDPICC pillars read 'gap', leaving Zycus without an internal advocate in a live 5-6 vendor RFP. ► Build a champion and reach the EB before the shortlist call. || [warn] Workday is both bidder and incumbent ERP — the buyer's repeated integration questions (6 Feb call) give it a structural edge Zycus hasn't neutralized. ► Deliver the Workday-integration proof/reference Adam Kang requested. || [warn] Price-sensitive 5-vendor field at a sovereign wealth fund — GEP, Coupa, and Ivalua are active peer competitors in a structured, cost-conscious procurement process. || [warn] No quantified ROI on record — metrics is 'gap' in MEDDPICC, leaving no savings case to defend price against rivals. || [good] Process is still on-track, not silent — clarification round landed and is being answered on schedule (due 15 Jul), with no missed deadlines to date."
Techtronic,006P700000GWfrf,Techtronic Industries Company Limited,Shortlisted,48.0,65.0,55.0,68.0,Close-date risk,10.8,ai,3,2026-07-09T16:22:32.033291+00:00,"[good] Genuine top-two shortlist — TTI narrowed to 2 vendors on 11 May 2026, and the 1 Jul S2C pivot is reported as strengthening Zycus's hand specifically vs Coupa. || [warn] Economic buyer completely unengaged — CFO decides scope/vendor week of 13 Jul with no Zycus pricing, ROI, or relationship to date. ► Get a tailored ROI/exec brief to Duncan/Tej to carry into the CFO meeting before 13 Jul. || [warn] Submission gap vs every active rival — Coupa/GEP/iValua have all already supplied RACI and phased implementation plans; Zycus has not. ► Send the promised revised pricing + RACI/implementation plan (due 8 Jul) immediately. || [good] References cleared — Tej Ram confirmed 30 Jun that TTI 'completed references and are going through final stages of process' (Nissan, TataPlay). || [warn] High-threat rivals still active — GEP and iValua were flagged as strong threats on 11 May with no buyer-voiced confirmation Zycus has since pulled ahead. || [warn] Commercial uncertainty — a 50% likelihood of an S2C-only pivot would shrink the deal from $220K to roughly $110-130K and push P2P/Merlin Intake to 2027.","[good] Active two-way dialogue — 11 buyer touches in 30 days, 14 SFDC email touches in 60 days, most recently a 1 Jul 2026 implementation/licensing meeting. || [good] Fresh, dated next step — 8 Jul plan to send Duncan/Tej revised pricing and target a call by EOD, tied directly to the CFO's scope decision week of 13 Jul. || [good] Cadence accelerated since May — near-weekly substantive updates (references, sandbox plan, costing asks) from 11 May through 8 Jul vs sparser Mar-Apr touchpoints. || [warn] No future meeting booked — next_scheduled_meeting is null even though TTI's CFO decides scope/vendor within days. ► Lock a specific Duncan/Tej or CFO session before 13 Jul. || [warn] Thin on recorded sessions — only 1 actual meeting logged in the last 90 days; most cadence is email/next-step narrative rather than buyer face time. || [warn] Close date pulled in but unsupported — Aug 30 → Jul 30 move looks positive, but it precedes the 13 Jul CFO decision with no paper process yet in motion.","[good] Buyer completed its own reference vetting — Tej Ram confirmed 30 Jun references are done and TTI is in 'final stages of process.' || [good] Buyer driving specific deliverable asks — Duncan/Tej requested revised pricing, implementation costing/timelines, and a RACI matching what other vendors gave. || [good] Buyer set its own internal milestone — TTI itself scheduled a CFO meeting the week of 13 Jul to decide scope, showing real internal process momentum. || [warn] Zero CFO engagement — the actual decision-maker has had no direct or indirect Zycus contact despite deciding scope/vendor within days. || [warn] Paper process gap — MEDDPICC flags paper_process as a gap; no contract, legal, or procurement-review activity is recorded.",[warn] CFO decision imminent with no relationship — scope/vendor is decided week of 13 Jul with zero Zycus exec engagement to date. || [warn] Close date likely to slip — 30 Jul close precedes the 13 Jul CFO decision with no contract activity yet; vulnerabilities flag a probable slip to Aug-Sep 2026. || [warn] Deliverable disadvantage vs all 3 active rivals — Coupa/GEP/iValua have already submitted RACI and phased implementation plans that Zycus has not yet delivered. || [warn] Deal value at risk — a 50% chance of an S2C-only scope pivot would cut the deal roughly in half ($220K → ~$110-130K) and defer P2P/Merlin Intake to 2027. || [warn] Two high-threat competitors remain active — GEP and iValua were both flagged as strong threats on 11 May 2026 with no evidence Zycus has since displaced them.
