deal,opp_id,win,momentum,win_engine,calls_discovered,calls_read,calls_omitted,unexplained_gap,verdict,omission_detail
Robert Bosch,006P700000PlMpu,54.0,58.0,10.8,28,21,7,0,ok,"2026-05-08:completed touchpoint, no content captured | 2026-05-11:completed touchpoint, no content captured | 2026-05-12:completed touchpoint, no content captured | 2026-05-12:not_recorded | 2026-05-12:not_recorded | 2026-05-13:completed touchpoint, no content captured | 2026-05-15:not_recorded"
Temasek,006P700000BV2eA,37.0,66.0,10.8,1,1,0,0,thin (verify coverage is genuinely absent),
Techtronic,006P700000GWfrf,48.0,65.0,10.8,7,3,4,0,ok,"2025-06-16:not_recorded | 2026-02-02:completed, no content available | 2026-03-09:not_recorded | 2026-07-01:not_recorded (content reconstructed from Next_Step__c narrative instead)"
SAMI,006P700000RD9Ir,56.0,70.0,10.8,3,2,1,0,thin (verify coverage is genuinely absent),"None:Completed touchpoint with no recorded/transcribed content available (GAP); attendee list confirms it occurred, content not read."
Wheelson,006P700000VlPdp,40.0,30.0,10.8,0,0,0,0,SCORED BLIND — no call evidence,
Mair Group,006P700000PtQGP,99,95.2,,16,12,4,0,ok,None:not_recorded | None:not_recorded | None:not_recorded | None:not_recorded
MTR,006P700000KTTO5,60,79,,4,2,2,0,thin (verify coverage is genuinely absent),"2025-02-27:completed, no transcript/notes content available | 2025-07-14:not_recorded"
Khansaheb,006P700000LtIUv,40.0,13.0,10.8,7,3,4,0,ok,2025-08-07:not_recorded | 2025-08-26:cancelled | 2025-09-17:not_recorded | 2025-10-07:not_recorded
HAECO,006P700000NwbBd,27.0,24.0,10.8,9,2,7,0,thin (verify coverage is genuinely absent),"2025-10-21:not_recorded | 2025-11-06:completed, no content captured | 2025-11-26:not_recorded | 2026-01-21:not_recorded | 2026-03-02:not_recorded | 2026-03-18:not_recorded | 2026-03-30:not_recorded"
Globe Telecom,006P7000008hZHF,40.0,30.0,10.8,1,0,1,0,SCORED BLIND — no call evidence,None:not_recorded - no transcript or summary content available
Gamuda,006P700000Q15OU,52,56,,3,1,2,0,thin (verify coverage is genuinely absent),None:not_recorded | None:not_recorded
Cebu Pacific,0066700000wdNe1,52.0,68.0,10.7,10,3,7,0,ok,"None:cancelled — no content | None:not_recorded | None:completed, no recording/notes content available | None:completed, no recording/notes content available | None:completed, no recording/notes content available | None:not_recorded | None:not_recorded"
Bandhan Bank,006P700000H55TV,70.0,73.8,10.3,11,9,2,0,ok,"None:cancelled, no content | None:not_recorded, no content"
Arabian Industries,006P700000QvP7Z,70,57.8,,4,2,2,0,thin (verify coverage is genuinely absent),"2025-12-18:cancelled, no content | 2026-06-22:not_recorded, content reconstructed from Next Step log instead"
ACEN,006P700000DkWgX,20,8,10.7,6,4,2,0,ok,":2024-12-04 Zycus Team Meeting (F2F) — completed touchpoint, no recording/content available | :2025-02-05 Zycus Updates — not_recorded"
Etex Group,006P700000UGPE5,32.0,52.0,10.7,1,1,0,0,thin (verify coverage is genuinely absent),
NORTHPORT,006P700000QFJwD,,,,0,0,0,0,SCORED BLIND — no call evidence,
