account,opp,stage,forecasted,fc,amount,close,pinned,verdict,win_old,win_new,mom_old,mom_new,fc_conf,risk,commit,ceiling,qual_cap,override,win_reasons,mom_reasons,note
SAMI,SAMI_S2P,Shortlisted,True,Best Case,2200000.0,2026-08-29,False,Slowing,60.0,60.0,94.9,60.0,44.8,34.7,54.7,60.0,60 by champion=gap,False,"exec_access +4.5: exec access strength +1.00 (weight 15) — from MEDDPICC 2.0: Franck Devienne Senior Procurement Advisor | trend_nudge +2.3: recent CRM moves: forecast upgraded, amount up, close pushed 61d | champion -2.2: champion strength -0.50 (weight 15) | momentum_adj +2.0: momentum 60 vs stage-expected 56 | differentiation +1.8: differentiation strength +0.30 (weight 20) — from MEDDPICC 2.0: Fragmented/manual supplier-facing processes ac | preference -1.8: preference strength -0.30 (weight 20)",engagement +35.0: engagement points 35.0 on the RFP process clock (month-old deliverable work keeps weight) | verdict_reconcile -29.9: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60 | progression +6.0: forecast category trend: moved UP recently — deal advancing | close_date_direction -5.1: Close date 2026-06-29 -> 2026-08-29 (pushed out 61d) — 61d cumulative push is beyond tolerance | confidence +4.0: rep confidence 75% (high),
The Government of Scotland,Scottish Government Pecos PCS Replacement,Formal Evaluation,False,Pipeline,2000000.0,2026-12-31,False,Off Track,5.0,5.0,22.3,16.8,0.0,7.9,22.6,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -35.2: momentum 17 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'stands out' in Next-Step/narrative | trend_nudge -4.0: recent CRM moves: close pushed 92d | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15),stalling -25.0: last genuine buyer touch 110d ago vs the ~21d cadence this stage needs — going quiet | close_date_direction -8.2: Close date 2026-09-30 -> 2026-12-31 (pushed out 92d) — 92d cumulative push is beyond tolerance,
Siemens AG,"Siemens Intake, Catalog Mgmt, Buying",Qualified,False,Pipeline,1578840.0,2027-02-24,False,Slowing,27.8,27.8,53.5,53.5,22.3,11.7,49.6,30.0,60 by champion=gap,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | preference +2.4: preference strength +0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | competitive -2.2: competitive strength -0.50 (weight 15) | trend_nudge +2.0: recent CRM moves: amount up | momentum_adj +1.8: momentum 54 vs stage-expected 50,engagement +3.5: engagement points 3.5 (type × buyer/rep × recency over 60d),
Allstate,Allstate - S2P 2025,Shortlisted,True,Upside Key Deal,1500000.0,2026-07-31,False,Slowing,41.8,41.8,49.0,49.0,35.8,11.7,49.6,70.0,74 by access to power (economic buyer)=partial,False,momentum_adj -7.0: momentum 49 vs stage-expected 56 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'economic buyer' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | preference -3.0: preference strength -0.50 (weight 20) | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'roi' in Next-Step/narrative,"stalling -4.0: no recent meeting, but active deal flow 9d ago — late-stage email/contract cadence (award/redlines/scheduling) | engagement +3.0: 1 session(s) in the last 30d (legacy volume read)",
Robert Bosch GmbH,Bosch S2P,Shortlisted,True,Best Case,1200000.0,2026-07-31,False,Slowing,70.0,70.0,99.0,60.0,55.9,30.4,49.6,70.0,86 by champion=partial,False,"trend_nudge +8.0: recent CRM moves: stage advanced, forecast upgraded, amount up | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'ai capabilit' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'c level' in Next-Step/narrative | forecast_conviction +4.0: Best Case forecast is evidence-consistent — manager conviction credited | champion +3.8: champion strength +0.85 (weight 15) — from MEDDPICC: Too early to say but Thomas Kirmse is the Category Manage | preference +3.0: preference strength +0.50 (weight 20)","verdict_reconcile -39.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60 | engagement +35.0: engagement points 35.0 on the RFP process clock (month-old deliverable work keeps weight) | next_step_plan +8.0: 1 upcoming milestone(s), nearest 2026-07-17 — live advancing plan | progression +6.0: stage trend: moved UP recently — deal advancing",
AIR FRANCE KLM,AF KLM S2C/P 2025,Qualified,False,Pipeline,1000000.0,2027-03-23,False,Slowing,30.0,27.6,61.4,55.9,22.4,13.6,54.7,30.0,74 by access to power (economic buyer)=partial,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'only vendor' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'economic buyer' in Next-Step/narrative | trend_nudge -4.0: recent CRM moves: close pushed 91d | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | momentum_adj +2.9: momentum 56 vs stage-expected 50 | champion +2.7: champion strength +0.60 (weight 15) — from MEDDPICC: Benoit Thibaudon seems to be convince that we are ahead c,"next_step_plan +11.0: 6 upcoming milestone(s), nearest 2026-07-16 — live advancing plan | close_date_direction -8.1: Close date 2026-12-22 -> 2027-03-23 (pushed out 91d) — 91d cumulative push is beyond tolerance | engagement +8.0: buyer touched the deal 5d ago (meeting) — freshness floor | confidence -5.0: rep confidence 30% (low)",
Truist,Truist_Orchestration_May 2026,Formal Evaluation,False,Pipeline,950000.0,2027-05-31,False,Off Track,5.0,5.0,25.0,25.0,0.0,28.1,42.0,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -27.0: momentum 25 vs stage-expected 52 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | business_case -1.5: business case strength -0.50 (weight 10),stalling -4.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
"Mizuho Bank, Ltd.",Mizuho Americas [S2P] 2024,Shortlisted,False,Best Case,859260.0,2026-09-22,False,Slowing,66.9,64.4,61.9,56.9,50.4,31.6,54.7,70.0,74 by access to power (economic buyer)=partial,False,differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'decision maker' in Next-Step/narrative | trend_nudge -2.7: recent CRM moves: close pushed 61d | preference +1.8: preference strength +0.30 (weight 20) | commercial +1.5: commercial strength +1.00 (weight 5) — from Next-Step/narrative: 'pricing' in Next-Step/narrative | champion +1.4: champion strength +0.30 (weight 15) — from MEDDPICC: Developing Matthew Brzoza into a champion. He reports dir,"next_step_plan +8.0: 1 upcoming milestone(s), nearest 2026-07-20 — live advancing plan | close_date_direction -5.1: Close date 2026-07-23 -> 2026-09-22 (pushed out 61d) — 61d cumulative push is beyond tolerance | engagement +4.0: engagement points 4.0 (type × buyer/rep × recency over 60d)",
PBF Energy,PBF_S2P_RFP_June'26,Formal Evaluation,False,Pipeline,823000.0,2026-12-07,False,At Risk,50.9,50.9,85.0,85.0,45.5,16.8,44.2,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj +16.5: momentum 85 vs stage-expected 52 | business_case +3.0: business case strength +1.00 (weight 10) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20),engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d),
Alpla,Alpla [S2P] Mar'26,Formal Evaluation,False,Pipeline,800000.0,2027-03-03,False,On Track,52.0,52.0,91.0,91.0,57.9,0.0,54.7,52.0,52 by access to power (economic buyer)=gap,False,"momentum_adj +19.5: momentum 91 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'ai capabilit' in Next-Step/narrative | trend_nudge +6.0: recent CRM moves: stage advanced, amount up | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'decision maker' in Next-Step/narrative | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'roi' in Next-Step/narrative | preference +1.8: preference strength +0.30 (weight 20)",engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d) | progression +6.0: stage trend: moved UP recently — deal advancing,
